id;;nom;tel;adresse;CP;Ville;;;;;;;
1;*;Bureau Vallée;01 46 04 74 18;93 Avenue Jean Baptiste Clément;92100;Boulogne Billancourt;;;;;;;
2;*;Softdeal;01 46 04 63 66;1 B Rue Bartholdi;92100;Boulogne Billancourt;;;;;;;
3;*;Everest Engineering;09 66 95 60 44;115 Av Jean Baptiste Clement;92100;Boulogne Billancourt;;;;;;;
4;*;Aqueva;01 49 10 35 70;69 Avenue Pierre Grenier;92100;Boulogne Billancourt;;;;;;;
5;*;Estim;01 41 31 55 15;60 Rue de Bellevue;92100;Boulogne Billancourt;;Ing�nierie, bureaux d'�tudes en b�timent;;;;;
6;*;Terrell Group;01 46 21 54 04;11 Rue Heinrich;92100;Boulogne Billancourt;;Activit�s des si�ges sociaux;7010Z;6 9;http://terrellgroup.net/;;
7;*;Rouvier & Associés;01 45 58 75 23;66 Rue Escudier;92100;Boulogne Billancourt;;;;;;;
8;*;E.C.E.R.P.;01 46 21 48 64;28 Rue De Solferino;92100;Boulogne Billancourt;;;;;;;
9;*;Clema;01 41 31 90 90;Rue de la Belle Feuille;92100;Boulogne Billancourt;;Ing�nierie, �tudes techniques;7112B;1 2;http://www.clema.fr/;;
10;*;Eurotec Ingenierie;01 48 25 00 36;118 B Rue de Silly;92100;Boulogne Billancourt;;Fonds de placement et entit�s financi�res similaires ;6430Z;100 199;http://www.burgeap.fr/;;
11;*;Burgeap;01 46 10 25 70;27 Rue De Vanves;92100;Boulogne Billancourt;;Ing�nierie, �tudes techniques;7112B;100 199;http://www.burgeap.fr/;Laurent VANPARYS;Directeur des ressources humaines
12;*;Energie 21;;95 Rue du Château;92100;Boulogne Billancourt;;;;;;;
13;*;Aneo;01 46 44 24 66;122 Avenue Du General Leclerc;92100;Boulogne Billancourt;;Conseil en syst�mes et logiciels informatiques;6202A;100 199;http://www.aneo.eu/;;
14;*;Galia (Sté);01 41 31 68 68;96 Avenue Du General Leclerc;92100;Boulogne Billancourt;;;;;;;
15;*;ALMA ETUDES ET CONSEILS;01 41 04 30 20;56 Rue Du Point Du Jour;92100;Boulogne Billancourt;;;;;;;
16;*;MPK Conseils Construction;09 67 49 13 70;100 Rue De Sevres;92100;Boulogne Billancourt;;;;;;;
17;*;Syselec;01 41 10 01 60;52 Rue de la Belle Feuille;92100;Boulogne Billancourt;;;;;;;
18;*;Eurotec Ingenierie;;1 Boulevard Jean Jaurès;92100;Boulogne Billancourt;;;;;;;
19;*;Hiq Consulting;01 41 31 20 20;62 B Avenue Andre Morizet;92100;Boulogne Billancourt;;;;;;;
20;*;Mercure Engineering & Consulting;01 49 10 90 49;2 B Avenue Desfeux;92100;Boulogne Billancourt;;;;;;;
